millis,x,y,z,state
21873,0.384765625,0.62890625,0.73046875,OnFace
21971,0.384765625,0.62890625,0.73046875,OnFace
22068,0.384765625,0.630859375,0.73046875,OnFace
22166,0.384765625,0.62890625,0.73046875,OnFace
22264,0.384765625,0.630859375,0.73046875,OnFace
22358,0.384765625,0.630859375,0.732421875,OnFace
22456,0.384765625,0.630859375,0.732421875,OnFace
22558,0.38671875,0.630859375,0.73046875,OnFace
22766,0.384765625,0.630859375,0.73046875,OnFace
22903,0.384765625,0.62890625,0.732421875,OnFace
23015,0.384765625,0.62890625,0.732421875,OnFace
23135,0.384765625,0.62890625,0.732421875,OnFace
23233,0.384765625,0.630859375,0.732421875,OnFace
23351,0.384765625,0.630859375,0.732421875,OnFace
23531,0.384765625,0.630859375,0.73046875,OnFace
23648,0.38671875,0.630859375,0.73046875,OnFace
23770,0.38671875,0.62890625,0.732421875,OnFace
24151,0.384765625,0.630859375,0.732421875,OnFace
24152,0.38671875,0.630859375,0.732421875,OnFace
