millis,x,y,z,state
158486,0.740234375,0.626953125,-0.390625,OnFace
158585,0.740234375,0.626953125,-0.390625,OnFace
158680,0.740234375,0.62890625,-0.390625,OnFace
158778,0.740234375,0.626953125,-0.390625,OnFace
158877,0.740234375,0.626953125,-0.390625,OnFace
158972,0.740234375,0.626953125,-0.390625,OnFace
159070,0.740234375,0.626953125,-0.390625,OnFace
159171,0.740234375,0.626953125,-0.390625,OnFace
159308,0.740234375,0.626953125,-0.390625,OnFace
159405,0.740234375,0.626953125,-0.390625,OnFace
159503,0.59375,1.01171875,-0.45703125,Shifting
159828,0.625,-0.060546875,-0.234375,Shifting
159981,0.771484375,0.63671875,-0.36328125,Shifting
160083,0.771484375,0.63671875,-0.36328125,Shifting
160215,0.740234375,0.62890625,-0.388671875,OnFace
160312,0.740234375,0.626953125,-0.390625,OnFace
160410,0.740234375,0.626953125,-0.390625,OnFace
160510,0.73828125,0.62890625,-0.390625,OnFace
160607,0.73828125,0.62890625,-0.390625,OnFace
160747,0.740234375,0.62890625,-0.390625,OnFace
160847,0.740234375,0.62890625,-0.390625,OnFace
160943,0.740234375,0.626953125,-0.390625,OnFace
161043,0.740234375,0.626953125,-0.390625,OnFace
161141,0.7265625,0.6484375,-0.39453125,OnFace
161236,0.7265625,0.6484375,-0.39453125,OnFace
161334,0.8125,0.697265625,-0.083984375,OnFace
161433,0.8125,0.697265625,-0.083984375,Shifting
161529,1.15625,0.583984375,-0.64453125,Shifting
161644,0.654296875,-0.23828125,-0.134765625,Shifting
161957,-0.1171875,0.134765625,-0.49609375,Shifting
162107,-0.123046875,0.53125,-0.80078125,Shifting
162210,-0.123046875,0.53125,-0.80078125,Shifting
162332,-0.322265625,0.65625,-0.7265625,Shifting
162486,-0.37109375,0.59765625,-0.72265625,OnFace
162588,-0.37109375,0.59765625,-0.72265625,OnFace
162689,-0.37109375,0.59765625,-0.724609375,OnFace
162790,-0.37109375,0.59765625,-0.724609375,OnFace
162970,-0.37109375,0.59765625,-0.724609375,OnFace
163116,-0.37109375,0.59765625,-0.724609375,OnFace
163237,-0.37109375,0.59765625,-0.724609375,OnFace
163356,-0.37109375,0.59765625,-0.724609375,OnFace
163454,-0.37109375,0.59765625,-0.724609375,OnFace
163573,-0.37109375,0.59765625,-0.724609375,OnFace
163686,-0.37109375,0.59765625,-0.724609375,OnFace
163785,-0.37109375,0.59765625,-0.72265625,OnFace
163885,-0.37109375,0.59765625,-0.72265625,OnFace
163980,-0.37109375,0.59765625,-0.724609375,OnFace
164081,-0.37109375,0.59765625,-0.724609375,OnFace
164193,-0.365234375,0.87109375,-0.404296875,OnFace
164462,-0.44921875,0.974609375,-0.953125,Shifting
164613,-0.6640625,0.55078125,-0.095703125,Shifting
164765,-0.55859375,0.49609375,-0.49609375,Shifting
164870,-0.55859375,0.49609375,-0.49609375,Shifting
164964,-0.3203125,0.642578125,-0.716796875,Shifting
165062,-0.376953125,0.595703125,-0.724609375,Shifting
165164,-0.376953125,0.595703125,-0.724609375,OnFace
165274,-0.376953125,0.595703125,-0.72265625,OnFace
165373,-0.375,0.595703125,-0.72265625,OnFace
165573,-0.376953125,0.595703125,-0.724609375,OnFace
165668,-0.376953125,0.595703125,-0.72265625,OnFace
165818,-0.376953125,0.595703125,-0.72265625,OnFace
165964,-0.376953125,0.595703125,-0.72265625,OnFace
166065,-0.376953125,0.595703125,-0.724609375,OnFace
166162,-0.37890625,0.595703125,-0.724609375,OnFace
166261,-0.37890625,0.595703125,-0.724609375,OnFace
166358,-0.376953125,0.595703125,-0.72265625,OnFace
166458,-0.376953125,0.595703125,-0.72265625,OnFace
